hh_id,expenditures_USD_2014,hh_expenditures_USD,adults,children,hh_size,hh_weights,urban,CO2_t,CO2_within_t,Ely_USD,Income_Group_5,Income_Group_10,hh_expenditure_USD_pc,tCO2_per_capita,tCO2_from_within_per_capita,electricity_USD_per_capita,exp_pc_CO2,exp_pc_CO2_within,exp_pc_electricity,burden_CO2_per_capita,burden_CO2_within_per_capita,burden_electricity_per_capita
1300001,6461.58505003427,6461.58505003427,1,0,1,1779.791023,2,2.047836081005665,1.3052937372488291,94.50153185889722,5,9,6461.58505003427,2.047836081005665,1.3052937372488291,94.50153185889722,81.9134432402266,52.211749489953164,23.625382964724306,0.012676989098795837,0.008080331541821344,0.0036562829060957733
1300002,57276.38233036326,57491.25717614804,3,0,3,1966.854056,2,38.650477887944874,21.60597361981977,2595.3457222962843,5,10,19092.12744345442,12.883492629314958,7.20199120660659,865.1152407654281,515.3397051725983,288.0796482642636,216.27881019135702,0.026992261951890452,0.015088923385697875,0.011328167111387392
1300004,5913.475130911583,6013.033809458533,2,0,2,1760.521397,2,9.357632056033134,8.677405246976203,399.5698279318456,3,5,2956.7375654557914,4.678816028016567,4.338702623488102,199.7849139659228,187.15264112066268,173.54810493952408,49.9462284914807,0.06329700792765909,0.05869580951895236,0.016892344141398737
1300005,9341.803295407813,9736.934261823166,2,2,4,2319.535308,2,7.336338000613509,4.650784844316006,342.8028698776384,2,4,2335.4508238519534,1.8340845001533772,1.1626962110790016,85.7007174694096,73.36338000613509,46.507848443160064,21.4251793673524,0.031412941457330236,0.01991386329704549,0.009173894456923305
1300006,9514.956608636052,9732.815827278959,2,2,4,2259.860312,2,8.740076839878878,6.903030421389122,534.8622723719394,2,4,2378.739152159013,2.1850192099697194,1.7257576053472805,133.71556809298485,87.40076839878878,69.03030421389121,33.42889202324621,0.036742476920792806,0.029019703211778096,0.014053197885487013
1300007,9197.120899246058,9235.917746401645,2,0,2,1887.423994,2,6.499013547906141,3.724538471754225,654.1682165581869,4,7,4598.560449623029,3.2495067739530703,1.8622692358771125,327.08410827909347,129.98027095812282,74.4907694350845,81.77102706977337,0.028265426187618792,0.016198714848076196,0.01778187499448368
1300009,30598.53616449623,31904.37835229609,5,0,5,2246.499909,2,33.43948625536261,26.883339083006906,1528.2979157741063,5,9,6119.707232899245,6.687897251072522,5.3766678166013815,305.65958315482123,267.5158900429009,215.06671266405527,76.41489578870531,0.04371383791119101,0.035143300893197504,0.012486691418488549
1300010,10808.44349280329,11133.740134338588,2,1,3,1881.653968,2,12.644356782198951,11.268410373154234,1881.3608700777322,3,6,3602.8144976010967,4.214785594066317,3.756136791051411,627.1202900259108,168.59142376265268,150.24547164205646,156.7800725064777,0.046794366980289395,0.041702250210799395,0.04351599911981823
1300011,29430.631690198767,29988.052852638793,2,2,4,2415.369119,2,29.7933190226222,25.26467708690133,3070.461725314669,5,9,7357.657922549692,7.44832975565555,6.316169271725332,767.6154313286672,297.933190226222,252.6467708690133,191.9038578321668,0.04049293856311514,0.03433793382738051,0.0260821935257443
1300012,52290.27122138451,52643.91940507196,2,2,4,2330.409653,2,38.54201543657257,31.91045626673665,4121.484606675353,5,10,13072.567805346127,9.635503859143142,7.977614066684162,1030.3711516688381,385.4201543657257,319.1045626673665,257.59278791720953,0.02948312528224984,0.024410243451700914,0.01970483471593584
1300013,5093.011344756683,5495.901680603152,2,2,4,1029.795181,1,9.350185256003007,8.254741183628813,744.9047296739811,1,2,1273.2528361891707,2.3375463140007517,2.063685295907203,186.22618241849528,93.50185256003007,82.54741183628812,46.55654560462382,0.07343541667645517,0.06483190886371905,0.03656504370645422
1300014,3114.1930774503085,3161.9430431802607,2,0,2,1193.13159,1,3.897886020663038,3.3271586477390844,445.5172276654585,1,2,1557.0965387251542,1.948943010331519,1.6635793238695422,222.75861383272925,77.95772041326076,66.54317295478168,55.68965345818231,0.05006608034533767,0.04273541896719053,0.03576506149308973
1300015,2300.3545990404386,2363.0264290610007,2,0,2,1080.897927,1,2.187172448969447,1.7668799453295934,42.137845266129915,1,1,1150.1772995202193,1.0935862244847234,0.8834399726647967,21.068922633064957,43.74344897938894,35.337598906591865,5.267230658266239,0.038031918207424124,0.030723610108921866,0.00457949453572366
1300016,14242.800090472927,14577.04985058259,4,0,4,1183.167771,1,10.920250357138983,5.269429530859636,589.0444682951967,3,6,3560.7000226182317,2.7300625892847457,1.317357382714909,147.26111707379917,109.20250357138983,52.69429530859636,36.81527926844979,0.030668829970993097,0.014798858363207334,0.010339337499534435
1300017,6824.066977381768,6824.066977381768,2,0,2,1227.523914,1,8.04617941903827,6.795947606483976,467.05674286686707,3,5,3412.033488690884,4.023089709519135,3.397973803241988,233.52837143343353,160.92358838076538,135.91895212967952,58.382092858358384,0.047163543064317325,0.03983517529361307,0.017110644737768445
1300019,23279.60047978067,24130.38549417409,3,5,8,1612.494947,2,21.877507313390318,15.710899689785716,2122.4694356865775,3,5,2909.950059972584,2.7346884141737897,1.9638624612232145,265.3086794608222,109.38753656695158,78.55449844892858,66.32716986520555,0.0375908638679463,0.026995136284115023,0.02279323304463529
1300020,11249.295051405072,11249.295051405072,2,0,2,1641.75917,2,7.62502558986486,6.284211989672254,1222.723068912483,4,8,5624.647525702536,3.81251279493243,3.142105994836127,611.3615344562415,152.5005117972972,125.68423979344509,152.84038361406039,0.0271129010485416,0.022345265053341584,0.027173326491240025
1300021,42263.793104866345,43329.81108978752,3,0,3,1943.38594,2,28.127622115254663,20.061588558083606,3125.3598638372123,5,10,14087.931034955449,9.375874038418221,6.687196186027869,1041.7866212790707,375.0349615367288,267.48784744111475,260.4466553197677,0.026621010608738744,0.018987021357317474,0.018487218220584602
1300022,7577.561436600411,8109.07824263194,2,3,5,1404.311059,2,10.182056010546976,6.641876363672773,1391.3482980438541,1,2,1515.5122873200821,2.036411202109395,1.3283752727345546,278.26965960877084,81.45644808437581,53.13501090938218,69.56741490219271,0.05374845771024216,0.03506075889582006,0.04590356375480828
1300023,49165.095651816315,49541.12663193968,2,0,2,2195.154843,2,70.99979847429509,58.31981373005687,2027.640063579338,5,10,24582.547825908157,35.499899237147545,29.159906865028436,1013.820031789669,1419.9959694859017,1166.3962746011375,253.45500794741724,0.05776439364797382,0.04744814422253838,0.010310363667035957
1300024,5809.081768334476,5818.034886908841,2,2,4,2191.631753,2,4.704111116471053,3.2951453141771614,496.66696299697037,1,2,1452.270442083619,1.1760277791177633,0.8237863285442903,124.16674074924259,47.041111164710536,32.951453141771616,31.041685187310648,0.03239142641863532,0.02268961220094455,0.021374589943987395
1300027,2705.751808087731,2801.251739547635,1,1,2,1364.439694,2,2.7872713544603793,2.4250304375263156,336.9193197619157,1,2,1352.8759040438656,1.3936356772301897,1.2125152187631578,168.45965988095784,55.74542708920759,48.50060875052631,42.11491497023946,0.041205129696359866,0.03585000561067996,0.031129917270574677
1300028,12812.927366689513,13230.739566826594,3,2,5,1711.711453,2,12.380585820628033,10.12911209559024,876.7933403473781,2,4,2562.585473337903,2.476117164125607,2.025822419118048,175.35866806947564,99.04468656502428,81.03289676472193,43.83966701736891,0.038650295803017,0.03162153910877061,0.017107592107070455
1300029,4760.253771076079,4790.0974996572995,2,0,2,2045.62051,2,2.7587871282486556,1.8928952364473592,254.14928030757315,2,4,2380.1268855380395,1.3793935641243278,0.9464476182236796,127.07464015378658,55.17574256497311,37.85790472894718,31.768660038446644,0.023181849211581156,0.015905834667461108,0.013347464889992696
1300030,5364.111775188485,5364.111775188485,2,0,2,1567.592209,2,5.896079593170548,4.926190274092647,204.5150339055828,2,4,2682.0558875942424,2.948039796585274,2.4630951370463237,102.2575169527914,117.92159186341095,98.52380548185295,25.56437923819785,0.04396686601828591,0.036734434184452096,0.009531635547359401
1300031,9108.60440027416,9588.491555860179,3,0,3,1745.015882,2,7.53045147587571,6.47295375682188,725.9339948083121,3,5,3036.2014667580534,2.5101504919585698,2.15765125227396,241.9779982694374,100.40601967834279,86.3060500909584,60.49449956735935,0.03306961701245495,0.028425666424274833,0.019924402326290027
1300032,3634.249891706648,3794.2122769019875,3,1,4,2017.042779,2,7.146543710545229,6.7244367495463395,295.34257104499005,1,1,908.562472926662,1.7866359276363073,1.6811091873865849,73.83564276124751,71.4654371054523,67.2443674954634,18.45891069031188,0.07865770294831546,0.07401182582289118,0.020316611394758606
1300035,6068.364082248115,6207.137420150788,2,3,5,1073.871032,2,4.41382003898005,3.7138710723490806,351.64958815940713,1,1,1213.672816449623,0.8827640077960099,0.7427742144698162,70.32991763188143,35.3105603118404,29.710968578792645,17.582479407970357,0.029093969835408327,0.02448021260433815,0.014487001084365283
1300036,3497.9834270047977,3503.9521727210417,2,2,4,1935.720818,2,4.456194839932204,4.032734813009292,474.7370796528279,1,1,874.4958567511994,1.114048709983051,1.008183703252323,118.68426991320698,44.561948399322034,40.32734813009292,29.671067478301744,0.050957300775411496,0.04611496763393626,0.03392934025843348
1300037,7844.961244688142,8053.8673447566825,2,0,2,1422.159738,2,6.821611270281418,5.757345511540668,724.0411036869752,3,6,3922.480622344071,3.410805635140709,2.878672755770334,362.0205518434876,136.43222540562834,115.14691023081338,90.5051379608719,0.03478212859190533,0.029355635200563893,0.02307344424987525
1300038,13185.138349554489,13836.626944482523,2,3,5,1807.962755,2,17.989772468852745,13.099105079771343,851.3810713264741,2,4,2637.0276699108977,3.597954493770549,2.6198210159542685,170.2762142652948,143.91817975082196,104.79284063817074,42.5690535663237,0.05457590809264615,0.03973899926568142,0.01614281641866961
1300041,1416.5624208361892,1547.8748265935574,2,2,4,1550.398945,2,2.273108596071062,1.7403404228816366,457.4318979692486,1,1,354.1406052090473,0.5682771490177655,0.43508510572040915,114.35797449231215,22.73108596071062,17.403404228816367,28.589493623078038,0.06418661296208206,0.04914263988040352,0.08072921659520464
1300043,12797.647377655929,12960.59413570939,2,0,2,1512.928201,2,8.789975923776138,4.791910502245195,128.3585953120715,5,9,6398.823688827964,4.394987961888069,2.3959552511225977,64.17929765603574,175.79951847552277,95.8382100449039,16.044824414008936,0.02747372439444772,0.014977473158423285,0.0025074646832389555
1300044,14854.95465113091,15141.752882796436,2,1,3,1586.740125,2,16.93762167436837,14.570543094471128,1559.8718632125992,4,8,4951.651550376971,5.645873891456123,4.8568476981570425,519.9572877375331,225.83495565824492,194.2739079262817,129.98932193438327,0.04560800641172985,0.03923416378349393,0.026251710285326347
