Type,total,share,country,Label
CO2_Mt,227.19688785620681,1,Thailand,227 Mt
CO2_within_Mt,156.4190270267961,0.6884734579894153,Thailand,NA
Transport_Mt,56.48116259565992,0.24860007163217357,Thailand,NA
Electricity_Mt,41.71097296889377,0.1835895436881719,Thailand,NA
