Type,total,share,country,Label
CO2_Mt,467.98191960277904,1,Indonesia,468 Mt
CO2_within_Mt,370.38878514620825,0.7914596048082212,Indonesia,NA
Transport_Mt,147.9352117291748,0.31611309226378137,Indonesia,NA
Electricity_Mt,144.68211830062154,0.3091617693765329,Indonesia,NA
