hh_id,share_energy,share_food,share_goods,share_services
114813,0.1004373077810841,0.13234642761339746,0.054335959675356676,0.29711975745325925
114815,0.07001747760431025,0.09525963476357056,0.04756156640017558,0.4698076392922239
114819,0.0741816672718784,0.07414393978693402,0.07913339967082769,0.502011346541097
1116313,0.13487597732397633,0.3640878660793942,0.1173140011099169,0.19405281237487093
1116314,0.10468968103502156,0.26246380132919434,0.12073168191003979,0.2509635617408696
1116315,0.1078294405855847,0.26833395643533187,0.11448023454871017,0.244111686114008
1172213,0.11897522671390424,0.23251725140787352,0.13378103270496788,0.2762736958993205
1172215,0.10661259387395673,0.23241022853768284,0.13650592901900735,0.30909290451378907
1172219,0.0827300930713547,0.27840672000580563,0.12835864221049004,0.2600918013752064
1391613,0.11161058592803155,0.25594962649567,0.13918269760472443,0.3689760031731341
1391614,0.10531660805295921,0.31649521373629474,0.1323353330951172,0.25077890408039166
1391615,0.1121153043619082,0.30073061806675844,0.1558589589471127,0.22705840584494452
11221913,0.1224962238981828,0.23206286755355318,0.14533450293004738,0.25189583668554283
11221914,0.09022217209879328,0.23584326403769282,0.14993170682806412,0.30740698971216623
11221919,0.09774467905048026,0.27697146645227716,0.14428976431261373,0.2918517891648683
11282514,0.06703685909969498,0.24538842273443348,0.14574930449258683,0.20770253511055495
11282515,0.1021002466409728,0.2241140929740242,0.12159855763143634,0.2632727788385084
11282520,0.07434065209836996,0.15528776446810805,0.1136359097463263,0.4199056562324004
11342513,0.08433993281395183,0.3638195983132013,0.17454077621327996,0.129788197174374
11342514,0.058621923214512386,0.22388266383558167,0.1586561578022164,0.34071492589558067
11342515,0.09101039035289862,0.31029292510894996,0.14996878810330846,0.1837126405264601
12401613,0.1275568123181077,0.2633181283411422,0.09938285619930236,0.2738343412660736
12401614,0.13938910417141553,0.19962388876225212,0.07802408631562952,0.21134412278702228
12401619,0.17567243257213536,0.19383780390998542,0.06154811792722775,0.24563864941202532
12551113,0.1242358863718087,0.25968626393383676,0.10216648687522474,0.22518878101402373
12551114,0.08109407330514083,0.29242634303350357,0.09481875753290092,0.2810634191880839
12551115,0.08301087638569336,0.20601730809454089,0.11849639196820749,0.289296172348881
12671613,0.08750556179418183,0.20853020319088078,0.09010106574570417,0.3369387884823188
12671614,0.07978023904848183,0.20132090359157193,0.1531678307373097,0.3715406645430901
12671615,0.08181586654781613,0.18487626809287322,0.14686531686404347,0.36489239780975424
12791113,0.05348678947933953,0.08959435204972999,0.11449515872921119,0.5448568711024089
