hh_id,share_energy,share_food,share_goods,share_services
1,0.18301610541727673,0.14372864812103464,0.3671303074670571,0.3061249389946315
2,0.18888119372914436,0.10659195366114714,0.2379903040987219,0.4035761506012718
3,0.12646585421936077,0.06281137426228252,0.24281444010117267,0.567908331417184
4,0.18761726078799248,0.1669793621013133,0.2354596622889306,0.4099437148217636
5,0.09028374892519346,0.09226139294926913,0.40825451418744624,0.15124677558039554
6,0.09945065353286607,0.055360863799962114,0.27978783860579653,0.37597082780829705
7,0.20266846816416145,0.053369363283229186,0.2994764397905759,0.4107076507346732
8,0.06790341418366515,0.049325040063014365,0.2693592633837629,0.47760545400222726
9,0.2674869600106995,0.08358967500334359,0.26280593821051224,0.3861174267754447
10,0.32540047680789663,0.09289388933037768,0.16073445146179263,0.29194027353716173
11,0.3262591067469116,0.09483687044662654,0.24497941083306937,0.28007602153943617
12,0.19321523835578963,0.07571301552561384,0.19571164763012106,0.5353600984884754
13,0.15627526000969985,0.07468879668049792,0.17211833809344182,0.4352535431373606
14,0.16583747927031509,0.14245439469320068,0.22844112769485903,0.4135157545605307
15,0.04230118443316413,0.04018612521150592,0.3813451776649746,0.1836576424139876
16,0.2387727328962019,0.12223184461214895,0.249288630458988,0.3897067920326611
17,NA,0.2182473298159825,0.36571869772230087,0.41603397246171664
18,0.10960731986275257,0.09240373617994663,0.4026401067479985,0.3953488372093023
19,0.1165421265510386,0.2103928155206691,0.1350517584150271,0.19524233906903407
20,0.40229885057471265,0.2218390804597701,0.24804597701149425,0.127816091954023
21,0.12087026591458501,0.28283642224012895,0.5962933118452861,NA
22,0.05338315761377285,0.19338048845589217,0.1724275990924863,0.18043507273455225
23,NA,0.16802191218009074,0.18830779765471198,0.25849524950783187
24,0.31232648528595225,0.07141865630205442,0.29497501388117714,0.3212798445308162
25,0.18573551263001487,0.23216939078751858,0.287890044576523,0.29420505200594355
26,0.09110108079009482,0.11491159054205143,0.24862313139260425,0.5453641972752495
27,0.0661448572373498,0.07716900011024143,0.20725388601036268,0.3187079704552971
28,0.3281198731269824,0.14573991031390135,0.2480039374384775,0.27813627912063876
29,0.28189660032700004,0.14917968089304842,0.3275074702599087,0.24141624852004284
30,0.0420816383784542,0.11867022022724084,0.2314490110814981,0.2571188104923552
31,0.10912945871788476,0.07966450486405588,0.14991269643302568,0.6612933399850337
32,0.03249214773096502,0.0880537203509152,0.3276291562872306,0.24856493014188238
33,0.0869187309865276,0.14330725771403738,0.1643850499782703,0.22511951325510648
34,0.15916526660182156,0.08373861526218056,0.29357149173224867,0.46352462640374925
35,0.10331171440050509,0.1104287436147621,0.579062159214831,0.20719738276990185
36,0.22376057618348366,0.14943010978253268,0.3954968184043074,0.23131249562967623
37,0.13419816595839856,0.1464996645045851,0.2692015209125475,0.40536792663833593
38,0.24485798237022527,0.07178419849820437,0.27118021547502447,0.4121776036565459
39,0.23654609616232908,0.11882443758270843,0.5314292015880018,0.11320026466696075
40,0.2836592037280924,0.13291459831830615,0.18326410698004256,0.4001620909735589
