hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD,expenditures,share_ely,Urban
60,349872,174936,670.0748,1,2,5,10,10772.252840296807,14400,0.04115790917821375,Urban
61,308832,51472,670.0748,1,6,4,7,9508.667138766588,18000,0.05828411563568542,Urban
62,192492,192492,670.0748,1,1,5,10,5926.660303580776,12000,0.062340253101427594,Urban
63,212352,106176,670.0748,1,2,5,9,6538.132331660458,9600,0.045207956600361664,Urban
64,304176,60835.2,922.6896,1,5,4,8,9365.312971458481,11760,0.03866182736310557,Urban
65,298704,59740.8,922.6896,1,5,4,8,9196.83487792112,16800,0.0562429696287964,Urban
66,639936,91419.42857142857,922.6896,1,7,5,9,19703.069675790513,37800,0.05906840684068407,Urban
67,200304,66768,922.6896,1,3,4,8,6167.184950275563,18000,0.08986340762041696,Urban
68,262452,65613,922.6896,1,4,4,8,8080.667508236092,18000,0.06858396964016278,Urban
69,240780,34397.142857142855,922.6896,1,7,3,6,7413.405585147327,9000,0.0373785198106155,Urban
70,130440,65220,922.6896,1,2,4,8,4016.1335016472185,8640,0.06623735050597976,Urban
71,167040,41760,922.6896,1,4,4,7,5143.015486930017,15600,0.09339080459770115,Urban
72,220116,55029,922.6896,1,4,4,7,6777.179100341759,4800,0.021806683748568936,Urban
73,150876,50292,922.6896,1,3,4,7,4645.3400658887285,3000,0.019883878151594685,Urban
74,124368,124368,922.6896,1,1,5,10,3829.1819329412856,2400,0.0192975685063682,Urban
75,355584,88896,922.6896,1,4,5,9,10948.1203239016,6000,0.01687365010799136,Urban
76,47076,47076,922.6896,1,1,4,7,1449.4288617260383,8400,0.17843487127198573,Urban
77,292068,58413.6,1025.7438,1,5,4,8,8992.51824255673,33600,0.11504170261719873,Urban
78,163416,163416,1025.7438,1,1,5,10,5031.435696911851,4200,0.02570127772066383,Urban
79,163464,40866,1025.7438,1,4,3,6,5032.913574925336,14400,0.08809279107326384,Urban
80,96552,32184,1025.7438,1,3,3,6,2972.751624126359,4800,0.049714143673875215,Urban
81,139488,46496,1025.7438,1,3,4,7,4294.713507189261,12000,0.08602890571231935,Urban
82,49692,24846,1025.7438,1,2,3,5,1529.9732134610056,4440,0.08935039845447959,Urban
83,108708,54354,1025.7438,1,2,4,7,3347.0242310415965,12000,0.11038745998454576,Urban
84,63096,63096,1025.7438,1,1,4,8,1942.6706487268698,3600,0.05705591479650057,Urban
85,115092,57546,1025.7438,1,2,4,8,3543.582006835186,15600,0.13554373892190597,Urban
86,41424,41424,1025.7438,1,1,4,7,1275.4087256381047,3000,0.07242178447276941,Urban
87,98352,49176,1025.7438,1,2,4,7,3028.17204963207,12000,0.12201073694485115,Urban
88,116052,116052,1025.7438,1,1,5,10,3573.1395671048986,4200,0.036190673146520524,Urban
89,120840,120840,1025.7438,1,1,5,10,3720.557898950091,4200,0.03475670307845084,Urban
90,346332,86583,658.115,1,4,5,9,10663.259336802243,20400,0.058903017913447216,Urban
91,406788,101697,658.115,1,4,5,9,12524.646694787401,15600,0.03834921384111626,Urban
92,284268,142134,658.115,1,2,5,10,8752.363065365313,14400,0.05065642281227574,Urban
93,277788,55557.6,658.115,1,5,4,8,8552.849533544753,18000,0.06479761544775152,Urban
94,217608,43521.6,658.115,1,5,4,7,6699.959974137135,6000,0.02757251571633396,Urban
95,271032,67758,658.115,1,4,4,8,8344.83820314665,12600,0.04648897547153104,Urban
96,55572,18524,658.115,1,3,2,3,1711.0132701129962,5760,0.1036493198013388,Urban
97,236868,59217,658.115,1,4,4,8,7292.958527048247,13800,0.05826029687420842,Urban
98,314664,104888,658.115,1,3,5,9,9688.229317405094,15000,0.047669895507589044,Urban
99,453696,151232,658.115,1,3,5,10,13968.902983466241,23400,0.05157638595006348,Urban
100,107664,17944,658.115,1,6,2,3,3314.880384248284,11760,0.10922871154703521,Urban
101,50232,12558,658.115,1,4,1,2,1546.599341112719,8400,0.16722408026755853,Urban
102,183600,183600,667.3931,1,1,5,10,5652.883401582561,9600,0.05228758169934641,Urban
103,135504,135504,667.3931,1,1,5,10,4172.049632069953,4200,0.030995394969890188,Urban
104,320040,106680,667.3931,1,3,5,9,9853.751654915484,14400,0.04499437570303712,Urban
105,250332,83444,667.3931,1,3,5,9,7707.503309830968,16800,0.06711087675566847,Urban
106,492720,123180,667.3931,1,4,5,10,15170.417808430064,15600,0.031660983925962005,Urban
107,390660,78132,667.3931,1,5,5,9,12028.079682256228,26400,0.06757794501612656,Urban
108,556944,111388.8,667.3931,1,5,5,9,17147.818590473846,8400,0.015082306300094803,Urban
109,217764,54441,667.3931,1,4,4,7,6704.763077680964,11760,0.05400341654267923,Urban
110,100704,33568,667.3931,1,3,3,6,3100.5880722928664,7440,0.07387988560533841,Urban
111,170832,85416,667.3931,1,2,5,9,5259.767849995382,8400,0.04917111548187693,Urban
112,412080,82416,719.0015,1,5,5,9,12687.582745774193,16800,0.040768782760629,Urban
113,883068,147178,719.0015,1,6,5,10,27188.891283598634,33600,0.038049164956719075,Urban
114,911268,227817,719.0015,1,4,5,10,28057.144616521447,18000,0.019752696243037174,Urban
115,400212,133404,719.0015,1,3,5,10,12322.177406939869,60000,0.14992054211268027,Urban
116,238740,59685,719.0015,1,4,4,8,7350.595769574187,27600,0.11560693641618497,Urban
117,213852,106926,719.0015,1,2,5,9,6584.316019581884,10800,0.050502216486168004,Urban
118,196452,49113,719.0015,1,4,4,7,6048.585239693341,15600,0.07940871052470833,Urban
119,55536,27768,719.0015,1,2,3,5,1709.904861602882,8400,0.1512532411408816,Urban
120,496668,82778,719.0015,1,6,5,9,15291.973275039258,48000,0.0966440358549373,Urban
121,121860,30465,395.4426,1,4,3,5,3751.9628067366607,14400,0.11816838995568685,Urban
122,156276,26046,395.4426,1,6,3,5,4811.601342405863,14400,0.09214466712739,Urban
123,157224,78612,395.4426,1,2,5,9,4840.789433172204,3000,0.019081056327278276,Urban
124,48720,48720,395.4426,1,1,4,7,1500.0461836879215,960,0.019704433497536946,Urban
125,57624,57624,395.4426,1,1,4,8,1774.1925551895072,3600,0.06247396917950854,Urban
126,84360,14060,395.4426,1,6,1,2,2597.370608701007,24000,0.2844950213371266,Urban
127,166164,83082,395.4426,1,2,5,9,5116.044213183904,2400,0.014443561782335523,Urban
128,68196,68196,395.4426,1,1,4,8,2099.6951876597186,2400,0.0351926799225761,Urban
129,107292,53646,395.4426,1,2,4,7,3303.42682964377,3600,0.03355329381500951,Urban
