hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
1300001,12990.84,12990.84,1779.791023,2,1,5,9,6822.920168067228,0,0,Urban
1300002,115584.6,38528.200000000004,1966.854056,2,3,5,10,20235.39915966387,1416,0.012250766970686406,Urban
1300004,12089.039999999999,6044.5199999999995,1760.521397,2,2,3,5,3174.642857142857,576,0.047646463242738885,Urban
1300005,19575.84,4893.96,2319.535308,2,4,2,4,2570.357142857143,420,0.02145501802221514,Urban
1300006,19567.56,4891.89,2259.860312,2,4,2,4,2569.2699579831938,600,0.030662995284031325,Urban
1300007,18568.56,9284.28,1887.423994,2,2,4,7,4876.197478991598,1032,0.055577815404102414,Urban
1300009,64142.88,12828.576,2246.499909,2,5,5,9,6737.697478991597,1920,0.029933174188623898,Urban
1300010,22384.08,7461.360000000001,1881.653968,2,3,3,6,3918.7815126050423,3324,0.14849839707506404,Urban
1300011,60290.16,15072.54,2415.369119,2,4,5,9,7916.250000000001,5143.200000000001,0.085307453156535,Urban
1300012,105839.16,26459.79,2330.409653,2,4,5,10,13896.948529411766,6000,0.056689792322614806,Urban
1300013,11049.36,2762.34,1029.795181,1,4,1,2,1450.808823529412,1272,0.11511978974347835,Rural
1300014,6357,3178.5,1193.13159,1,2,1,2,1669.3802521008404,756,0.11892402076451156,Rural
1300015,4750.8,2375.4,1080.897927,1,2,1,1,1247.5840336134454,0,0,Rural
1300016,29306.76,7326.69,1183.167771,1,4,3,6,3848.051470588235,648,0.022110939592094113,Rural
1300017,13719.6,6859.8,1227.523914,1,2,3,5,3602.8361344537816,672,0.04898101985480626,Rural
1300019,48513.48,6064.185,1612.494947,2,8,3,5,3184.9711134453787,3168,0.06530143786840276,Urban
1300020,22616.4,11308.2,1641.75917,2,2,4,8,5939.180672268908,1944,0.08595532445482039,Urban
1300021,87113.4,29037.8,1943.38594,2,3,5,10,15250.94537815126,4294.799999999999,0.04930125560476344,Urban
1300022,16303.08,3260.616,1404.311059,2,5,1,2,1712.5084033613446,2400,0.14721144716213133,Urban
1300023,99601.08,49800.54,2195.154843,2,2,5,10,26155.74579831933,1956,0.019638341270998266,Urban
1300024,11697,2924.25,2191.631753,2,4,1,2,1535.8455882352941,720,0.061554244678122594,Urban
1300027,5631.84,2815.92,1364.439694,2,2,1,2,1478.9495798319329,540,0.09588340577857325,Urban
1300028,30200.04,6040.008,1711.711453,2,5,3,5,3172.2731092436975,1200,0.039735046708547404,Urban
1300029,9930.36,4965.18,2045.62051,2,2,2,4,2607.762605042017,336,0.03383563133662828,Urban
