hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
1174542713,89097,29699,3485,1,3,5,9,1425.9170347608988,4000,0.04489488983916406,Urban
1174542715,62269,15567.25,3485,1,4,3,6,747.4193393508739,3360,0.0539594340683165,Urban
117463115,94177,23544.25,4209,2,4,4,8,1130.4133858267717,2400,0.02548392919715005,Rural
117484319,43834,14611.333333333334,4980,2,3,3,6,701.5235900390501,2000,0.045626682483916596,Rural
1175081413,35002,8750.5,4681,2,4,2,3,420.1315536777415,5000,0.1428489800582824,Rural
1175081414,131579,32894.75,4681,2,4,5,9,1579.3523141924334,2500,0.01899999240000304,Rural
1175081419,42991,21495.5,4681,2,2,4,8,1032.048204340311,1800,0.04186922844316252,Rural
117523713,47779,23889.5,4519,2,2,4,8,1146.9896293451125,1200,0.025115636576738733,Rural
117523714,198976,24872,4519,2,8,4,8,1194.1617053965815,15000,0.07538597619813445,Rural
117523715,17515,17515,4519,2,1,4,7,840.9352794315345,800,0.04567513559805881,Rural
1185352515,154105,51368.333333333336,4312,2,3,5,10,2466.3113757121823,3600,0.023360695629603193,Rural
119431331513,94997,23749.25,1136,1,4,4,8,1140.255905511811,2400,0.025263955703864333,Urban
119431331514,80378,16075.6,1136,1,5,3,6,771.8263875552142,1872,0.023289954962800768,Urban
119431331515,166840,33368,1136,1,5,5,9,1602.0741309775303,3900,0.02337568928314553,Urban
11943144213,50422,16807.333333333332,987,2,3,3,6,806.9585813968375,2040,0.04045853000674309,Rural
11953148913,69594,23198,665,1,3,4,8,1113.7891300172844,1200,0.017242865764290027,Urban
11953148914,43474,14491.333333333334,665,1,3,3,6,695.7621151014661,1500,0.03450338133137047,Urban
11953148915,48903,12225.75,665,1,4,3,5,586.9862684847321,1630,0.03333128846901008,Urban
119592314,101280,33760,2009,1,3,5,9,1620.8949491069714,3430,0.03386650868878357,Urban
119592319,125242,31310.5,2009,1,4,5,9,1503.2888419435376,4320,0.03449322112390412,Urban
119592320,135611,33902.75,2009,1,4,5,9,1627.7487036681391,5060,0.037312607384356725,Urban
119598713,54614,18204.666666666668,4856,2,3,4,7,874.0477562255938,2000,0.03662064672062108,Rural
119598714,107292,26823,4856,2,4,5,9,1287.8336854234685,6000,0.05592215635834918,Rural
119598715,89315,29771.666666666668,4856,2,3,5,9,1429.405927917547,1800,0.020153389688182276,Rural
1196073214,131235,21872.5,2534,2,6,4,8,1050.1488381025542,5760,0.043890730369185046,Rural
