hh_id,hh_expenditures_0,hh_expenditures_0_pc,hh_weights,urban,hh_size,Income_Group_5,Income_Group_10,hh_expenditures_USD_pc,expenditures,share_ely,Urban
126062,518789.2142857143,129697.30357142858,897.109985351562,2,4,5,10,1862.156004701124,6000,0.011565390788358993,Urban
126251,215625.21428571435,71875.07142857145,897.109985351562,2,3,5,10,1031.9612834150016,1800,0.008347817790988529,Urban
136006,119714.07142857146,14964.258928571433,2946.43994140625,1,8,2,3,214.85245916770424,0,0,Rural
154061,75663.7857142857,18915.946428571424,2946.43994140625,1,4,3,5,271.5896341450907,0,0,Rural
188150,68545.53571428571,22848.511904761905,3115.60009765625,1,3,3,6,328.05226068948446,720,0.01050396634145706,Rural
188222,98244.86785714285,32748.289285714283,3115.60009765625,1,3,4,8,470.1903729517191,1200,0.012214378482801883,Rural
188254,201466.26785714284,40293.25357142857,3115.60009765625,1,5,5,9,578.5187665498222,1200,0.005956332108414818,Rural
188311,105149.93928571434,52574.96964285717,3115.60009765625,1,2,5,10,754.8560588501941,840,0.007988592344476249,Rural
188341,90954.12857142858,22738.532142857144,3115.60009765625,1,4,3,6,326.47320338923953,720,0.0079160782617423,Rural
189010,138784.08571428573,34696.02142857143,3115.60009765625,1,4,4,8,498.15534219545765,2640,0.019022353942187275,Rural
189080,58524.64285714286,19508.214285714286,3115.60009765625,1,3,3,5,280.09324305753546,2160,0.03690752979514124,Rural
189120,134054.72142857139,44684.907142857126,3115.60009765625,1,3,5,9,641.5728458823116,1560,0.011637038840375478,Rural
192101,225307.71428571423,75102.5714285714,3115.60009765625,1,3,5,10,1078.300785776844,2520,0.01118470358633336,Rural
192286,165454.32142857142,33090.864285714284,3115.60009765625,1,5,4,8,475.10896474772477,3600,0.021758271219009306,Rural
202072,70942.28571428571,14188.457142857142,3115.60009765625,1,5,2,3,203.71372371257507,0,0,Rural
202202,87957.14285714287,17591.428571428572,3115.60009765625,1,5,2,4,252.5725935968725,0,0,Rural
202269,94220.57142857138,15703.428571428563,3115.60009765625,1,6,2,4,225.4652410146386,0,0,Rural
206077,303881.64285714284,60776.32857142857,911.919982910156,2,5,5,10,872.6087750208699,3600,0.011846717577778755,Urban
206081,191320.71428571426,63773.57142857142,911.919982910156,2,3,5,10,915.642312575506,3900,0.02038461969243865,Urban
206082,443317.96428571426,63331.137755102034,911.919982910156,2,7,5,10,909.289979111,3000,0.006767151890254843,Urban
206086,188527.35714285713,94263.67857142857,911.919982910156,2,2,5,10,1353.410365854909,3780,0.02005014050632288,Urban
206111,143569.82142857142,47856.60714285714,911.919982910156,2,3,5,9,687.1111881413536,4800,0.033433210073247094,Urban
